profile	owner_class	disposition	method	mode	signature	endpoint_source	compile_condition	authority_and_payload	delegate	replay_policy	protocol_constant	in_repo_references	rust_signature	replacement	executable_callers
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_activation_status	query	canic_fleet_activation_status : () -> (Result_7) query;	crates/canic/src/macros/endpoints/shared.rs:67	always	#[$crate::canic_query(requires(caller::is_controller()))]	$crate::__internal::core::api::fleet_activation::FleetActivationApi::status()	query_read_only(mode-derived)	CANIC_FLEET_ACTIVATION_STATUS	apps/skynet/console/src/lib.rs:94;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:12;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:142;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:179;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:290;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:317;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:335;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:373;crates/canic-core/src/workflow/runtime/fleet_activation.rs:403;crates/canic-host/src/install_root/fleet_subnet_root_install/mod.rs:429;crates/canic-testing-internal/src/pic/canic.rs:367;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2210;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:3342;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:3410;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:4191;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:78;crates/canic-tests/tests/lifecycle_boundary.rs:8;crates/canic-tests/tests/lifecycle_boundary.rs:94;crates/canic/tests/endpoint_macro.rs:40;crates/canic/tests/endpoint_macro.rs:42;crates/canic/tests/endpoint_macro.rs:43;crates/canic/tests/protocol_surface.rs:339;crates/canic/tests/protocol_surface.rs:390;crates/canic/tests/protocol_surface.rs:391;crates/canic/tests/protocol_surface.rs:397	async fn canic_fleet_activation_status() -> Result<::canic::dto::fleet_activation::FleetActivationStatusResponse, ::canic::Error>	RootStatusRequest::Operation	crates/canic-core/src/workflow/runtime/fleet_activation.rs:403;crates/canic-host/src/install_root/fleet_subnet_root_install/mod.rs:429;crates/canic-testing-internal/src/pic/canic.rs:367;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2210;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:3342;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:3410;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:4191;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:78;crates/canic-tests/tests/lifecycle_boundary.rs:8;crates/canic-tests/tests/lifecycle_boundary.rs:94
fleet-subnet-root	canic-owned	role-command-variant	canic_fleet_admin	update	canic_fleet_admin : (FleetCommand) -> (Result_8);	crates/canic/src/macros/endpoints/root.rs:578	always	#[$crate::canic_update(internal, requires(caller::is_controller()))]	$crate::__internal::control_plane::api::state::FleetStateApi::execute_command(cmd).await	update_response_idempotent	CANIC_FLEET_ADMIN	crates/canic/tests/protocol_surface.rs:103	async fn canic_fleet_admin( cmd: ::canic::dto::state::FleetCommand, ) -> Result<::canic::dto::state::FleetCommandResponse, ::canic::Error>	RootCommand::{SetCyclesFunding,SetFleetStatus}	none
fleet-subnet-root	canic-owned	private-delete	canic_fleet_registry_activate_mirror	update	canic_fleet_registry_activate_mirror : ( FleetSubnetRootRegistryMirrorActivationRequest, ) -> (Result_9);	crates/canic/src/macros/endpoints/root.rs:150	always	#[$crate::canic_update(requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::activate_fleet_registry_mirror(request).await	update_snapshot_convergent	CANIC_FLEET_REGISTRY_ACTIVATE_MIRROR	crates/canic-core/src/domain/policy/pure/fleet_activation.rs:111;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:12;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:191;crates/canic-core/src/replay_policy/tests/endpoint.rs:617;crates/canic-host/examples/empty_fleet_subnet_root_retirement.rs:343;crates/canic-host/src/install_root/fleet_subnet_root_registry_mirror_activation/mod.rs:142;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2513;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2526;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2692;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2700;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:79;crates/canic/tests/protocol_surface.rs:1105;crates/canic/tests/protocol_surface.rs:1106;crates/canic/tests/protocol_surface.rs:1107;crates/canic/tests/protocol_surface.rs:1425	async fn canic_fleet_registry_activate_mirror( request: ::canic::dto::fleet_registry::FleetSubnetRootRegistryMirrorActivationRequest, ) -> Result<::canic::dto::fleet_registry::FleetSubnetRootRegistryMirrorActivationResponse, ::canic::Error>	none	crates/canic-host/examples/empty_fleet_subnet_root_retirement.rs:343;crates/canic-host/src/install_root/fleet_subnet_root_registry_mirror_activation/mod.rs:142;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2513;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2526;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2692;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2700;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:79
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_registry_mirror_status	composite-query	canic_fleet_registry_mirror_status : ( FleetSubnetRootRegistryMirrorActivationRequest, ) -> (Result_9) composite_query;	crates/canic/src/macros/endpoints/root.rs:157	always	#[$crate::canic_query(composite, requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::fleet_registry_mirror_status(request).await	query_read_only(mode-derived)	CANIC_FLEET_REGISTRY_MIRROR_STATUS	crates/canic-core/src/domain/policy/pure/fleet_activation.rs:106;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:13;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:199;crates/canic-host/src/install_root/fleet_subnet_root_registry_mirror_activation/mod.rs:151;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2536;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2711;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:80;crates/canic/tests/protocol_surface.rs:1110;crates/canic/tests/protocol_surface.rs:1111;crates/canic/tests/protocol_surface.rs:1112;crates/canic/tests/protocol_surface.rs:1430	async fn canic_fleet_registry_mirror_status( request: ::canic::dto::fleet_registry::FleetSubnetRootRegistryMirrorActivationRequest, ) -> Result<::canic::dto::fleet_registry::FleetSubnetRootRegistryMirrorActivationResponse, ::canic::Error>	RootStatusRequest::Operation	crates/canic-host/src/install_root/fleet_subnet_root_registry_mirror_activation/mod.rs:151;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2536;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2711;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:80
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_registry_sync_status	composite-query	canic_fleet_registry_sync_status : (FleetSubnetRootRegistrySyncRequest) -> ( Result_10, ) composite_query;	crates/canic/src/macros/endpoints/root.rs:143	always	#[$crate::canic_query(composite, requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::fleet_registry_sync_status(request).await	query_read_only(mode-derived)	CANIC_FLEET_REGISTRY_SYNC_STATUS	crates/canic-core/src/domain/policy/pure/fleet_activation.rs:105;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:13;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:195;crates/canic-host/src/install_root/fleet_subnet_root_registry_sync/mod.rs:194;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2121;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2723;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:81;crates/canic/tests/protocol_surface.rs:1100;crates/canic/tests/protocol_surface.rs:1101;crates/canic/tests/protocol_surface.rs:1102;crates/canic/tests/protocol_surface.rs:977	async fn canic_fleet_registry_sync_status( request: ::canic::dto::fleet_registry::FleetSubnetRootRegistrySyncRequest, ) -> Result<::canic::dto::fleet_registry::FleetSubnetRootRegistrySyncResponse, ::canic::Error>	RootStatusRequest::Operation	crates/canic-host/src/install_root/fleet_subnet_root_registry_sync/mod.rs:194;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2121;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2723;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:81
fleet-subnet-root	canic-owned	role-command-variant	canic_fleet_registry_synchronize	update	canic_fleet_registry_synchronize : (FleetSubnetRootRegistrySyncRequest) -> ( Result_10, );	crates/canic/src/macros/endpoints/root.rs:136	always	#[$crate::canic_update(requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::synchronize_fleet_registry(request).await	update_response_idempotent	CANIC_FLEET_REGISTRY_SYNCHRONIZE	crates/canic-core/src/domain/policy/pure/fleet_activation.rs:112;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:14;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:189;crates/canic-host/src/install_root/fleet_subnet_root_registry_sync/mod.rs:185;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2099;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2110;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:694;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:81;crates/canic/tests/protocol_surface.rs:1095;crates/canic/tests/protocol_surface.rs:1096;crates/canic/tests/protocol_surface.rs:1097;crates/canic/tests/protocol_surface.rs:972	async fn canic_fleet_registry_synchronize( request: ::canic::dto::fleet_registry::FleetSubnetRootRegistrySyncRequest, ) -> Result<::canic::dto::fleet_registry::FleetSubnetRootRegistrySyncResponse, ::canic::Error>	RootCommand::SynchronizeRegistry	crates/canic-host/src/install_root/fleet_subnet_root_registry_sync/mod.rs:185;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2099;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2110;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:694;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:81
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_state	query	canic_fleet_state : () -> (Result_11) query;	crates/canic/src/macros/endpoints/topology.rs:13	#[cfg(canic_is_root)]	#[$crate::canic_query(requires(caller::is_controller()))]	Ok($crate::__internal::core::api::state::FleetStateQuery::snapshot())	query_read_only(mode-derived)	CANIC_FLEET_STATE	apps/skynet/root/src/lib.rs:124;crates/canic/tests/protocol_surface.rs:104	async fn canic_fleet_state() -> Result<::canic::dto::state::FleetStateResponse, ::canic::Error>	RootStatusRequest::FleetState	none
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_subnet_root_authority	query	canic_fleet_subnet_root_authority : () -> (Result_12) query;	crates/canic/src/macros/endpoints/root.rs:12	always	#[$crate::canic_query(requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::fleet_subnet_root_authority()	query_read_only(mode-derived)	CANIC_FLEET_SUBNET_ROOT_AUTHORITY	crates/canic-core/src/domain/policy/pure/fleet_activation.rs:14;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:180;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:315;crates/canic-core/src/domain/policy/pure/fleet_activation.rs:96;crates/canic-host/src/install_root/fleet_subnet_root_install/mod.rs:374;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:4198;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:82;crates/canic/tests/protocol_surface.rs:408;crates/canic/tests/protocol_surface.rs:409;crates/canic/tests/protocol_surface.rs:415	async fn canic_fleet_subnet_root_authority( ) -> Result<::canic::dto::fleet_subnet_root::FleetSubnetRootAuthority, ::canic::Error>	RootStatusRequest::FleetAuthority	crates/canic-host/src/install_root/fleet_subnet_root_install/mod.rs:374;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:4198;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:82
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_subnet_root_canister_summary	query	canic_fleet_subnet_root_canister_summary : () -> (Result_13) query;	crates/canic/src/macros/endpoints/root.rs:18	always	#[$crate::canic_query(requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::fleet_subnet_root_canister_summary()	query_read_only	CANIC_FLEET_SUBNET_ROOT_CANISTER_SUMMARY	crates/canic-cli/src/info_subnets/transport.rs:66;crates/canic-host/src/install_root/fleet_catalog_closeout/mod.rs:135;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2267;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2545;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:83;crates/canic/tests/protocol_surface.rs:444;crates/canic/tests/protocol_surface.rs:445;crates/canic/tests/protocol_surface.rs:448;crates/canic/tests/protocol_surface.rs:449;crates/canic/tests/protocol_surface.rs:456	async fn canic_fleet_subnet_root_canister_summary( ) -> Result<::canic::dto::fleet_subnet_root::FleetSubnetRootCanisterSummary, ::canic::Error>	RootStatusRequest::Inventory	crates/canic-cli/src/info_subnets/transport.rs:66;crates/canic-host/src/install_root/fleet_catalog_closeout/mod.rs:135;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2267;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:2545;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:83
fleet-subnet-root	canic-owned	role-status-variant	canic_fleet_subnet_root_deletion_preparation_status	query	canic_fleet_subnet_root_deletion_preparation_status : ( AuthoritySnapshotRequest, ) -> (Result_14) query;	crates/canic/src/macros/endpoints/root.rs:129	always	#[$crate::canic_query(requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::fleet_subnet_root_deletion_preparation_status(request)	query_read_only	CANIC_FLEET_SUBNET_ROOT_DELETION_PREPARATION_STATUS	crates/canic-core/src/replay_policy/tests/endpoint.rs:566;crates/canic-host/src/fleet_subnet_root_deletion/mod.rs:795;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:1760;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:194;crates/canic/tests/protocol_surface.rs:643;crates/canic/tests/protocol_surface.rs:644;crates/canic/tests/protocol_surface.rs:677	async fn canic_fleet_subnet_root_deletion_preparation_status( request: ::canic::dto::fleet_subnet_root::FleetSubnetRootDeletionPreparationStatusRequest, ) -> Result<::canic::dto::fleet_subnet_root::FleetSubnetRootDeletionPreparationResponse, ::canic::Error>	RootStatusRequest::Operation	crates/canic-host/src/fleet_subnet_root_deletion/mod.rs:795;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:1760;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:194
fleet-subnet-root	canic-owned	private-delete	canic_fleet_subnet_root_deletion_prepare	update	canic_fleet_subnet_root_deletion_prepare : ( FleetSubnetRootDeletionPreparationRequest, ) -> (Result_14);	crates/canic/src/macros/endpoints/root.rs:122	always	#[$crate::canic_update(requires(caller::is_controller()))]	$crate::__internal::control_plane::api::lifecycle::LifecycleApi::prepare_fleet_subnet_root_deletion(request).await	update_costed_response_idempotent	CANIC_FLEET_SUBNET_ROOT_DELETION_PREPARE	crates/canic-core/src/replay_policy/tests/endpoint.rs:533;crates/canic-host/src/fleet_subnet_root_deletion/mod.rs:823;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:1734;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:195;crates/canic/tests/protocol_surface.rs:639;crates/canic/tests/protocol_surface.rs:640;crates/canic/tests/protocol_surface.rs:676	async fn canic_fleet_subnet_root_deletion_prepare( request: ::canic::dto::fleet_subnet_root::FleetSubnetRootDeletionPreparationRequest, ) -> Result<::canic::dto::fleet_subnet_root::FleetSubnetRootDeletionPreparationResponse, ::canic::Error>	none	crates/canic-host/src/fleet_subnet_root_deletion/mod.rs:823;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:1734;crates/canic-testing-internal/src/pic/fleet_registry/baseline.rs:195
