path	classification	current_authority	closeout
crates/canic-core/src/role_contract/model.rs	domain async-job recovery	Role model names the exact recovery allocation key	Retained without provider scheduling fields
crates/canic-core/src/state_contract.rs	domain async-job recovery	State contract publishes the exact bounded recovery domain	Retained without provider scheduling fields
crates/canic-core/src/storage/stable/async_job_recovery/mod.rs	domain async-job recovery	Stable storage holds attempt fences and cycle-only replay generation	Retained without provider handles, snapshots or pending commands
crates/canic-core/src/storage/stable/mod.rs	domain async-job recovery	Stable storage router exposes the exact recovery record	Retained without provider scheduling fields
crates/canic-core/src/workflow/placement/acknowledgement.rs	fixed Canic consumer	Placement owns one native once registration	Retained with terminal receipts as demand and retry identity
crates/canic-core/src/workflow/runtime/async_job/mod.rs	domain async-job recovery	Workflow maps native callback outcomes to exact attempt completion	Retained without registration custody
crates/canic-core/src/workflow/runtime/auth/mod.rs	fixed Canic consumer	Auth boundary exposes its exact renewal claim operations	Retained with renewal as the custody owner
crates/canic-core/src/workflow/runtime/auth/renewal.rs	fixed Canic consumer	Auth renewal owns one native once registration	Retained with delegation facts as demand and retry identity
crates/canic-core/src/workflow/runtime/authority_restore.rs	private lifecycle consumer	Authority restore suspends and resumes exact role-owned claims	Retained without copied provider state
crates/canic-core/src/workflow/runtime/cycles/mod.rs	fixed Canic consumer	Automatic top-up owns one capability-pruned native once registration	Retained with exact cycle retry generation
crates/canic-core/src/workflow/runtime/intent.rs	fixed Canic consumer	Intent cleanup owns one native once registration	Retained with the expiry index as demand
crates/canic-core/src/workflow/runtime/log.rs	fixed Canic consumer	Log retention owns one native once registration	Retained with log policy and index as demand
crates/canic-core/src/workflow/runtime/root.rs	private lifecycle consumer	Root restore starts exact owners and the closed recovery watchdog	Retained without a generic scheduler registry
crates/canic-core/src/workflow/runtime/timer/mod.rs	native registration custody	Runtime owns shared-provider initialization, one recovery watchdog and private deferrals	Retained without central claim union or application scheduling surface
crates/canic/src/macros/endpoints/wasm_store.rs	private lifecycle consumer	Store schedules one private bootstrap through the internal boundary	Retained with participant grammar closed
crates/canic/src/macros/start.rs	private lifecycle consumer	Managed, Root and local macros invoke paired participants then private deferrals	Retained with one lifecycle export pair and no application timer facade
